HS-CODE,39,PLASTICS AND ARTICLES THEREOF
HS-CODE,3902,"Polymers of propylene or of other olefins, in primary forms."
HS-CODE,39023090,Other
HS-CODE,Statistic code : 001,Used in the manufacture of telephonic or electric wire (KGM)
