HS-CODE,39,PLASTICS AND ARTICLES THEREOF
HS-CODE,3901,"Polymers of ethylene, in primary forms."
HS-CODE,39013000,Ethylene-vinyl acetate copolymers
HS-CODE,Statistic code : 001,Used in the manufacture of telephonic or electric wire (KGM)
