HS-CODE,39,PLASTICS AND ARTICLES THEREOF
HS-CODE,3901,"Polymers of ethylene, in primary forms."
HS-CODE,39012000,Polyethylene having a specific gravity of 0.94 or more
HS-CODE,Statistic code : 001,For polyethylene coplymers used in the manufacture of telephonic or electric wire (KGM)
